id,dataset,ground_truth,device_pred,cluster_pred,device_correct,cluster_correct,agree
mamabench_v0.2_medqa_usmle_aac2f3b12b2b,medqa_usmle,D,C,D,0,1,0
mamabench_v0.2_medqa_usmle_ac3bef8ae630,medqa_usmle,D,C,C,0,0,1
mamabench_v0.2_medqa_usmle_b2f9924651b3,medqa_usmle,D,E,E,0,0,1
mamabench_v0.2_medqa_usmle_b4b709f7a976,medqa_usmle,E,E,E,1,1,1
mamabench_v0.2_medqa_usmle_b6a4ededdb78,medqa_usmle,B,A,B,0,1,0
mamabench_v0.2_medqa_usmle_b6dc9edbb799,medqa_usmle,C,C,C,1,1,1
mamabench_v0.2_medqa_usmle_b8122364c2bf,medqa_usmle,D,A,A,0,0,1
mamabench_v0.2_medqa_usmle_bab7fad48ae1,medqa_usmle,F,B,C,0,0,0
mamabench_v0.2_medqa_usmle_bf763398b165,medqa_usmle,E,E,B,1,0,0
mamabench_v0.2_medqa_usmle_bfbbac4f1468,medqa_usmle,B,A,B,0,1,0
mamabench_v0.2_medqa_usmle_bff0e96c1242,medqa_usmle,B,B,B,1,1,1
mamabench_v0.2_medqa_usmle_bfffd16f018c,medqa_usmle,A,A,A,1,1,1
mamabench_v0.2_medqa_usmle_c6f1c96d367d,medqa_usmle,C,C,C,1,1,1
mamabench_v0.2_medqa_usmle_c8c9663a480c,medqa_usmle,E,E,E,1,1,1
mamabench_v0.2_medqa_usmle_c9f828a4a40c,medqa_usmle,F,F,F,1,1,1
mamabench_v0.2_medqa_usmle_d3e574f3e4e0,medqa_usmle,E,A,E,0,1,0
mamabench_v0.2_medqa_usmle_d4b5605ddfb4,medqa_usmle,B,A,C,0,0,0
mamabench_v0.2_medqa_usmle_d4d81651f0d8,medqa_usmle,D,C,D,0,1,0
mamabench_v0.2_medqa_usmle_d51e438c05f8,medqa_usmle,E,A,E,0,1,0
mamabench_v0.2_medqa_usmle_d83653be58ed,medqa_usmle,A,A,A,1,1,1
mamabench_v0.2_medqa_usmle_e0a544bfbd2d,medqa_usmle,D,C,A,0,0,0
mamabench_v0.2_medqa_usmle_e3c8e2827846,medqa_usmle,A,B,B,0,0,1
mamabench_v0.2_medqa_usmle_e66c77e5b499,medqa_usmle,C,C,C,1,1,1
mamabench_v0.2_medqa_usmle_e6d7767ca15d,medqa_usmle,B,C,D,0,0,0
mamabench_v0.2_medqa_usmle_e82db0a89972,medqa_usmle,B,D,B,0,1,0
mamabench_v0.2_medqa_usmle_f62f399bc165,medqa_usmle,C,E,C,0,1,0
mamabench_v0.2_medqa_usmle_f9a2a7ff48a9,medqa_usmle,B,B,B,1,1,1
mamabench_v0.2_medqa_usmle_fc9b25685df4,medqa_usmle,C,E,D,0,0,0
mamabench_v0.2_medqa_usmle_fe798250aa92,medqa_usmle,A,G,G,0,0,1
